Image,THR,JSI
rPTSD_WT_01_pre.ss.hist.nii,1000,0.943
rPTSD_WT_01_PreF.ss.hist.nii,1000,0.945
rPTSD_WT_02_pre.ss.hist.nii,1000,0.932
rPTSD_WT_02_PreF.ss.hist.nii,1000,0.926
rPTSD_WT_03_pre.ss.hist.nii,1000,0.92
rPTSD_WT_03_PreF.ss.hist.nii,1000,0.936
rPTSD_WT_04_pre.ss.hist.nii,1000,0.946
rPTSD_WT_04_PreF.ss.hist.nii,1000,0.933
rPTSD_WT_05_pre.ss.hist.nii,1000,0.929
rPTSD_WT_05_PreF.ss.hist.nii,1000,0.931
rPTSD_WT_06_pre.ss.hist.nii,1000,0.935
rPTSD_WT_06_PreF.ss.hist.nii,1000,0.939
rPTSD_WT_07_pre.ss.hist.nii,1000,0.942
rPTSD_WT_07_PreF.ss.hist.nii,1000,0.938
rPTSD_WT_08_pre.ss.hist.nii,1000,0.941
rPTSD_WT_08_PreF.ss.hist.nii,1000,0.931
rPTSD_WT_09_pre.ss.hist.nii,1000,0.929
rPTSD_WT_09_PreF.ss.hist.nii,1000,0.927
rPTSD_WT_11_pre.ss.hist.nii,1000,0.942
rPTSD_WT_11_PreF.ss.hist.nii,1000,0.925
rPTSD_WT_12_pre.ss.hist.nii,1000,0.934
rPTSD_WT_12_PreF.ss.hist.nii,1000,0.919
wrPTSD_WT_01_pre.ss.hist.nii,1000,0.908
wrPTSD_WT_01_PreF.ss.hist.nii,1000,0.909
wrPTSD_WT_02_pre.ss.hist.nii,1000,0.909
wrPTSD_WT_02_PreF.ss.hist.nii,1000,0.906
wrPTSD_WT_03_pre.ss.hist.nii,1000,0.909
wrPTSD_WT_03_PreF.ss.hist.nii,1000,0.906
wrPTSD_WT_04_pre.ss.hist.nii,1000,0.909
wrPTSD_WT_04_PreF.ss.hist.nii,1000,0.903
wrPTSD_WT_05_pre.ss.hist.nii,1000,0.907
wrPTSD_WT_05_PreF.ss.hist.nii,1000,0.908
wrPTSD_WT_06_pre.ss.hist.nii,1000,0.908
wrPTSD_WT_06_PreF.ss.hist.nii,1000,0.908
wrPTSD_WT_07_pre.ss.hist.nii,1000,0.911
wrPTSD_WT_07_PreF.ss.hist.nii,1000,0.903
wrPTSD_WT_08_pre.ss.hist.nii,1000,0.91
wrPTSD_WT_08_PreF.ss.hist.nii,1000,0.904
wrPTSD_WT_09_pre.ss.hist.nii,1000,0.91
wrPTSD_WT_09_PreF.ss.hist.nii,1000,0.906
wrPTSD_WT_11_pre.ss.hist.nii,1000,0.907
wrPTSD_WT_11_PreF.ss.hist.nii,1000,0.903
wrPTSD_WT_12_pre.ss.hist.nii,1000,0.908
wrPTSD_WT_12_PreF.ss.hist.nii,1000,0.9
