Image,THR,NBINS,NMI
rPTSD_WT_01_pre.ss.hist.nii,1000,1000,0.764
rPTSD_WT_01_PreF.ss.hist.nii,1000,1000,0.785
rPTSD_WT_02_pre.ss.hist.nii,1000,1000,0.714
rPTSD_WT_02_PreF.ss.hist.nii,1000,1000,0.761
rPTSD_WT_03_pre.ss.hist.nii,1000,1000,0.803
rPTSD_WT_03_PreF.ss.hist.nii,1000,1000,0.773
rPTSD_WT_04_pre.ss.hist.nii,1000,1000,0.74
rPTSD_WT_04_PreF.ss.hist.nii,1000,1000,0.774
rPTSD_WT_05_pre.ss.hist.nii,1000,1000,0.735
rPTSD_WT_05_PreF.ss.hist.nii,1000,1000,0.794
rPTSD_WT_06_pre.ss.hist.nii,1000,1000,0.731
rPTSD_WT_06_PreF.ss.hist.nii,1000,1000,0.755
rPTSD_WT_07_pre.ss.hist.nii,1000,1000,0.735
rPTSD_WT_07_PreF.ss.hist.nii,1000,1000,0.791
rPTSD_WT_08_pre.ss.hist.nii,1000,1000,0.751
rPTSD_WT_08_PreF.ss.hist.nii,1000,1000,0.786
rPTSD_WT_09_pre.ss.hist.nii,1000,1000,0.743
rPTSD_WT_09_PreF.ss.hist.nii,1000,1000,0.766
rPTSD_WT_11_pre.ss.hist.nii,1000,1000,0.744
rPTSD_WT_11_PreF.ss.hist.nii,1000,1000,0.778
rPTSD_WT_12_pre.ss.hist.nii,1000,1000,0.763
rPTSD_WT_12_PreF.ss.hist.nii,1000,1000,0.787
wrPTSD_WT_01_pre.ss.hist.nii,1000,1000,0.74
wrPTSD_WT_01_PreF.ss.hist.nii,1000,1000,0.787
wrPTSD_WT_02_pre.ss.hist.nii,1000,1000,0.716
wrPTSD_WT_02_PreF.ss.hist.nii,1000,1000,0.767
wrPTSD_WT_03_pre.ss.hist.nii,1000,1000,0.802
wrPTSD_WT_03_PreF.ss.hist.nii,1000,1000,0.773
wrPTSD_WT_04_pre.ss.hist.nii,1000,1000,0.754
wrPTSD_WT_04_PreF.ss.hist.nii,1000,1000,0.777
wrPTSD_WT_05_pre.ss.hist.nii,1000,1000,0.735
wrPTSD_WT_05_PreF.ss.hist.nii,1000,1000,0.793
wrPTSD_WT_06_pre.ss.hist.nii,1000,1000,0.745
wrPTSD_WT_06_PreF.ss.hist.nii,1000,1000,0.76
wrPTSD_WT_07_pre.ss.hist.nii,1000,1000,0.75
wrPTSD_WT_07_PreF.ss.hist.nii,1000,1000,0.791
wrPTSD_WT_08_pre.ss.hist.nii,1000,1000,0.765
wrPTSD_WT_08_PreF.ss.hist.nii,1000,1000,0.787
wrPTSD_WT_09_pre.ss.hist.nii,1000,1000,0.767
wrPTSD_WT_09_PreF.ss.hist.nii,1000,1000,0.747
wrPTSD_WT_11_pre.ss.hist.nii,1000,1000,0.746
wrPTSD_WT_11_PreF.ss.hist.nii,1000,1000,0.78
wrPTSD_WT_12_pre.ss.hist.nii,1000,1000,0.754
wrPTSD_WT_12_PreF.ss.hist.nii,1000,1000,0.783
